variable,alias
amigos_se_confiesa-5,a1509-5 a 8
amigos_se_confiesa-6,a1509-9 ó más
anio_regreso_al_trabajo-2020,h1502a-2020
anio_regreso_al_trabajo-2021,h1502a-2021
anio_regreso_al_trabajo-6666,h1502a-Nunca dejó de asistir a su trabajo
anio_vacuna_primera_dosis-2020,h16041a-2020
anio_vacuna_primera_dosis-2021,h16041a-2021
anio_vacuna_primera_dosis-9999,h16041a-No recuerda
anio_vacuna_segunda_dosis-2020,h16042a-2020
anio_vacuna_segunda_dosis-2021,h16042a-2021
anio_vacuna_segunda_dosis-9999,h16042a-No recuerda
anio_vacuna_unica_dosis-2020,h1604ua-2020
anio_vacuna_unica_dosis-2021,h1604ua-2021
anio_vacuna_unica_dosis-9999,h1604ua-No recuerda
antes_fumo_tabaco-1,a1305-todos los días?
antes_fumo_tabaco-2,a1305-algunos días?
antes_fumo_tabaco-3,a1305-nunca ha fumado?
antes_fumo_tabaco-9,a1305-No responde
apoyo_asa-1,h0601n-Sí
apoyo_asa-2,h0601n-No
apoyo_asa-9,h0601n-No Sabe
apoyo_benito_juarez-1,h0601k-Sí
apoyo_benito_juarez-2,h0601k-No
apoyo_benito_juarez-9,h0601k-No Sabe
apoyo_comedor_indigena-1,h0601i-Sí
apoyo_comedor_indigena-2,h0601i-No
apoyo_comedor_indigena-9,h0601i-No Sabe
apoyo_comedor_jcf-1,h0601j-Sí
apoyo_comedor_jcf-2,h0601j-No
apoyo_comedor_jcf-9,h0601j-No Sabe
apoyo_dif_dispensas-1,h0601c-Sí
apoyo_dif_dispensas-2,h0601c-No
apoyo_dif_dispensas-9,h0601c-No Sabe
apoyo_dif_escolares-1,h0601d-Sí
apoyo_dif_escolares-2,h0601d-No
apoyo_dif_escolares-9,h0601d-No Sabe
apoyo_dif_p_escuela_nuestra-1,h0601f-Sí
apoyo_dif_p_escuela_nuestra-2,h0601f-No
apoyo_dif_p_escuela_nuestra-9,h0601f-No Sabe
apoyo_dif_pde-1,h0601e-Sí
apoyo_dif_pde-2,h0601e-No
apoyo_dif_pde-9,h0601e-No Sabe
apoyo_liconsa-1,h0601a-Sí
apoyo_liconsa-2,h0601a-No
apoyo_liconsa-9,h0601a-No Sabe
apoyo_pam-1,h0601b-Sí
apoyo_pam-2,h0601b-No
apoyo_pam-9,h0601b-No Sabe
apoyo_pension_bienestar-1,h0601l-Sí
apoyo_pension_bienestar-2,h0601l-No
apoyo_pension_bienestar-9,h0601l-No Sabe
apoyo_pension_bienestar_ninios-1,h0601m-Sí
apoyo_pension_bienestar_ninios-2,h0601m-No
apoyo_pension_bienestar_ninios-9,h0601m-No Sabe
apoyo_seguro_popular-1,h0605-Sí
apoyo_seguro_popular-2,h0605-No
apoyo_seguro_popular-9,h0605-No Sabe
apoyo_vacunas_dosis_1-1,h16041d-1
apoyo_vacunas_dosis_1-2,h16041d-2
apoyo_vacunas_dosis_1-3,h16041d-3
apoyo_vacunas_dosis_1-4,h16041d-4
apoyo_vacunas_dosis_1-5,h16041d-5
apoyo_vacunas_dosis_1-6,h16041d-6
apoyo_vacunas_dosis_1-7,h16041d-7
apoyo_vacunas_dosis_1-8,h16041d-8
apoyo_vacunas_dosis_1-9,h16041d-9
apoyo_vacunas_dosis_1-10,h16041d-10
apoyo_vacunas_dosis_1-11,h16041d-11
