"subcategoria","var","var_alias","description","visibility","var_type","is_category"
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532420_2017","Cómputo_2017","Alquiler de equipo de cómputo y de otras máquinas y mobiliario de oficina","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532491_2017","Maquinaria_2017","Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532492_2017","Maquinaria_2017","Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","532493_2017","Maquinaria_2017","Alquiler de maquinaria y equipo comercial y de servicios","visible","integer",FALSE
"Servicios inmobiliarios y de alquiler de bienes muebles e intangibles","533110_2017","Alquiler_2017","Servicios de alquiler de marcas registradas, patentes y franquicias","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541110_2017","Jurídicos_2017","Bufetes jurídicos","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541120_2017","Notarías_2017","Notarías públicas","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541190_2017","Apoyo_2017","Servicios de apoyo para efectuar trámites legales","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541211_2017","Contabilid_2017","Servicios de contabilidad y auditoría","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541219_2017","Técnicos_2017","Otros servicios técnicos relacionados con la contabilidad","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541310_2017","Arquitectu_2017","Servicios de arquitectura","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541320_2017","Arquitectu_2017","Servicios de arquitectura de paisaje y urbanismo","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541330_2017","Ingeniería_2017","Servicios de ingeniería","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541340_2017","Dibujo_2017","Servicios de dibujo","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541350_2017","Inspección_2017","Servicios de inspección de edificios","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541360_2017","Levantamie_2017","Servicios de levantamiento geofísico","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541370_2017","Elaboració_2017","Servicios de elaboración de mapas","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541380_2017","Laboratori_2017","Servicios de laboratorios de pruebas","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541410_2017","Diseño_2017","Diseño y decoración de interiores","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541420_2017","Diseño_2017","Diseño industrial","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541430_2017","Diseño_2017","Diseño gráfico","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541490_2017","Modas_2017","Diseño de modas y otros diseños especializados","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541510_2017","Diseño_2017","Servicios de diseño de sistemas de cómputo y servicios relacionados","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541610_2017","Consultorí_2017","Servicios de consultoría en administración","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541620_2017","Consultorí_2017","Servicios de consultoría en medio ambiente","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541690_2017","Consultorí_2017","Otros servicios de consultoría científica y técnica","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541711_2017","Investigac_2017","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541712_2017","Investigac_2017","Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector público","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541721_2017","Investigac_2017","Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector privado","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541722_2017","Investigac_2017","Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector público","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541810_2017","Publicidad_2017","Agencias de publicidad","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541820_2017","Relaciones_2017","Agencias de relaciones públicas","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541830_2017","Compra_2017","Agencias de compra de medios a petición del cliente","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541840_2017","Representa_2017","Agencias de representación de medios","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541850_2017","Anuncios_2017","Agencias de anuncios publicitarios","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541860_2017","Correo_2017","Agencias de correo directo","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541870_2017","Distribuci_2017","Distribución de material publicitario","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541890_2017","Rotulación_2017","Servicios de rotulación y otros servicios de publicidad","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541910_2017","Investigac_2017","Servicios de investigación de mercados y encuestas de opinión pública","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541920_2017","Fotografía_2017","Servicios de fotografía y videograbación","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541930_2017","Traducción_2017","Servicios de traducción e interpretación","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541941_2017","Servicios_2017","Servicios veterinarios para mascotas prestados por el sector privado","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541942_2017","Servicios_2017","Servicios veterinarios para mascotas prestados por el sector público","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541943_2017","Servicios_2017","Servicios veterinarios para la ganadería prestados por el sector privado","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541944_2017","Servicios_2017","Servicios veterinarios para la ganadería prestados por el sector público","visible","integer",FALSE
"Servicios profesionales científicos y técnicos","541990_2017","Profesiona_2017","Otros servicios profesionales, científicos y técnicos","visible","integer",FALSE
"Dirección y administración de grupos empresariales o corporativos","551111_2017","Dirección_2017","Dirección y administración de grupos empresariales o corporativos","visible","integer",FALSE
"Dirección y administración de grupos empresariales o corporativos","551112_2017","Tenedoras_2017","Tenedoras de acciones","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561110_2017","Administra_2017","Servicios de administración de negocios","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561210_2017","Servicios_2017","Servicios integrales de apoyo a los negocios en instalaciones","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561310_2017","Colocación_2017","Agencias de colocación","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561320_2017","Empleo_2017","Agencias de empleo temporal","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561330_2017","Suministro_2017","Suministro de personal permanente","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561410_2017","Preparació_2017","Servicios de preparación de documentos","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561421_2017","Casetas_2017","Servicios de casetas telefónicas","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561422_2017","Recepción_2017","Servicios de recepción de llamadas telefónicas y promoción por teléfono","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561431_2017","Fotocopiad_2017","Servicios de fotocopiado, fax y afines","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561432_2017","Acceso_2017","Servicios de acceso a computadoras","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561440_2017","Cobranza_2017","Agencias de cobranza","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561450_2017","Despachos_2017","Despachos de investigación de solvencia financiera","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561490_2017","Apoyo_2017","Otros servicios de apoyo secretarial y similares","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561510_2017","Viajes_2017","Agencias de viajes","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561520_2017","Organizaci_2017","Organización de excursiones y paquetes turísticos para agencias de viajes (Operadores de tours)","visible","integer",FALSE
"Servicios de apoyo a los negocios y manejo de residuos y servicios de remediación","561590_2017","Reservacio_2017","Otros servicios de reservaciones","visible","integer",FALSE
